"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
5177146,"Chicago","12A","personal robbery","robbery","property","2018-06-20 01:30",-87.679676,41.77155,"street","street","170316607002009",,
5177227,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-20 07:00",-87.619021,41.786644,"residence","residence","170318345001023",,
5177309,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-20 09:45",-87.649442,41.77195,"private vehicle","vehicle","170316811004001",,
5177335,"Chicago","13B","simple assault","assault offenses","persons","2018-06-20 10:30",-87.717676,41.860059,"residence","residence","170318387004005",,
5177379,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-20 11:55",-87.689665,41.776351,"street","street","170316606002011",,
5177467,"Chicago","12B","commercial robbery","robbery","property","2018-06-20 13:10",-87.629427,41.882774,"restaurant","leisure","170318391001066",,
5177601,"Chicago","23C","shoplifting","larceny/theft offenses","property","2018-06-20 15:57",-87.764194,41.89486,"other retail","retail","170312515003006",,
5177632,"Chicago","26A","false pretenses/swindle/confidence game","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-20 16:30",-87.739626,41.884519,"residence","residence","170312604001017",,
5177746,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-20 18:40",-87.742544,41.872682,"street","street","170318314001002",,
5177754,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-20 19:00",-87.704359,41.778954,"other retail","retail","170316604002015",,
5177785,"Chicago","35B","drug equipment violations","drug/narcotic offenses","society","2018-06-20 19:21",-87.710811,41.874474,"street","street","170312714001028",,
5177850,"Chicago","13B","simple assault","assault offenses","persons","2018-06-20 20:30",-87.648612,41.721395,"healthcare","healthcare","170317304001006",,
5178292,"Chicago","240","motor vehicle theft","motor vehicle theft","property","2018-06-21 14:30",-87.660001,41.944393,"street","street","170310615001013",,
5178467,"Chicago","240","motor vehicle theft","motor vehicle theft","property","2018-06-21 19:00",-87.573855,41.765764,"street","street","170314306001010",,
5178527,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-21 20:40",-87.810809,41.949558,"street","street","170311704001017",,
5178970,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-22 15:00",-87.653941,41.758332,"street","street","170316718001032",,
5179054,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-22 17:00",-87.571826,41.727177,"residence","residence","170314804004000",,
5179140,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-22 19:03",-87.592751,41.758706,"residence","residence","170318342004005",,
5179217,"Chicago","520","weapon law violations","weapon law violations","society","2018-06-22 20:44",-87.682106,41.771154,"residence","residence","170316607002011",,
5179236,"Chicago","240","motor vehicle theft","motor vehicle theft","property","2018-06-22 21:00",-87.724675,41.888865,"street","street","170312315005013",,
5179334,"Chicago","13B","simple assault","assault offenses","persons","2018-06-22 23:36",-87.65653,41.980634,"residence","residence","170310307062002",,
5179456,"Chicago","13B","simple assault","assault offenses","persons","2018-06-23 02:32",-87.625561,41.896713,"commercial vehicle","vehicle","170310812012008",,
5179501,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-23 04:00",-87.792913,41.983605,"street","street","170311003001009",,
5179565,"Chicago","13B","simple assault","assault offenses","persons","2018-06-23 08:00",-87.727639,41.912585,"residence","residence","170312305001010",,
5179850,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-23 16:20",-87.755021,41.87915,"vehicle parking","open space","170312521024006",,
5179863,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-23 16:30",-87.674403,41.770249,"residence","residence","170316714002017",,
5180093,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-23 22:00",-87.660838,42.004254,"street","street","170310104003010",,
5180137,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-23 23:00",-87.650193,41.889017,"street","street","170312435001033",,
5180173,"Chicago","520","weapon law violations","weapon law violations","society","2018-06-24 00:00",-87.55564,41.757014,"residence","residence","170314314002010",,
5180217,"Chicago","11U","sexual assault by penetration (including rape)","sex offenses","persons","2018-06-24 00:52",-87.610124,41.866312,"other","other","170313301004011",,
5180355,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-24 04:07",-87.685022,41.696718,"street","street","170317503001024",,
5180609,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-24 14:10",-87.626156,41.891695,"other retail","retail","170310815002012",,
